app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,DTI,UR,PLE
-1954,,,23-Aug-05,1,SA,19,0,P,,,11,1,36,25,0,21,,0.428553262,45.1953125,1,1,0,2,0,,,0.00
-1953,,,23-Aug-05,0,SB,18,0,P,,,7,1,,9,0,22,,0.258946039,69.09375,2,1,0,3,0,,,0.00
2169,1,0,23-Aug-05,0,SH,18,0,P,,,,,,,,20,,0.030108968,69.09375,,0,,5,-1,,,0.00
-2160,,,23-Aug-05,21,SF,18,0,P,,,65,1,,17,0,28,,0.517018,71.8125,,1,0,3,-1,0.00,,0.00
2002,1,0,23-Aug-05,0,SO,18,0,P,1,,5,,26,16,0,21,,0,52.140625,1,0,,5,0,,,0.00
2033,1,0,23-Aug-05,0,SH,18,0,P,,,28,1,,3,,18,,0.217340984,67.28125,,1,0,3,-1,,,0.00
-2235,,,23-Aug-05,1,SA,18,0,P,,,10,1,1,15,,19,,0,89.25,,1,0,3,4,,,0.00
1907,1,0,23-Aug-05,0,SD,18,0,P,,,,,,6,2,20,,0,77.96875,1,0,,5,0,,,0.00
2104,1,0,23-Aug-05,0,SA,21,0,P,1,750,6,1,40,13,2,20,0,0,,2,1,0,3,2,,0.00,0.00
2206,1,0,23-Aug-05,0,SO,18,0,P,,,,,,18,,19,,0,59.265625,,0,,5,-1,,,0.00
2200,1,0,23-Aug-05,0,SH,18,0,P,,,,,,7,0,20,,0.073066759,59.2109375,,0,,5,-1,,,0.00
2301,1,0,23-Aug-05,0,SH,17,0,P,,,,,,10,0,19,,0.051368485,79.3125,,0,,5,-1,,,0.00
2069,1,0,23-Aug-05,0,SN,17,0,P,,,,,,6,,20,,0,75.765625,,0,,5,-1,,,0.00
-2322,,,23-Aug-05,0,SO,18,0,P,,,20,1,,18,0,19,,0.232656352,87.515625,,1,0,3,-1,,,0.00
2275,1,0,23-Aug-05,0,SG,19,0,P,1,1250,3,1,,18,0,19,0,0.051152551,66.046875,,1,0,3,-1,,0.00,0.00
-2308,,,23-Aug-05,1,SH,18,0,P,,,,,,4,0,19,,0.009054525,62.625,,0,,5,-1,,,0.00
2203,1,0,23-Aug-05,0,SB,18,1,P,,,,,,13,0,19,,0.273613222,55.2734375,,0,,5,-1,,,0.06
1939,1,0,23-Aug-05,1,SH,18,0,P,,,,,,8,0,17,,0.200552025,43.28125,1,0,,5,0,,,0.00
1861,1,0,23-Aug-05,1,SH,18,0,P,,,18,2,,9,0,17,,0.019588151,77.75,1,1,0,3,0,,,0.00
2228,1,0,23-Aug-05,0,SB,18,0,P,,,,,,6,0,15,,0.417491069,53.765625,,0,,5,-1,,,0.00
2140,1,0,23-Aug-05,1,SD,18,0,P,1,,2,,0,6,0,15,,0.140849795,29.62109375,1,0,,5,1,,,0.00
2058,1,0,23-Aug-05,1,SB,16,0,P,,,,,,7,,15,,0.399696024,52.2109375,,0,,5,-1,,,0.00
1955,1,0,23-Aug-05,0,SE,18,0,P,,,,,,3,,14,,0,22.99609375,1,0,,5,0,,,0.00
-1986,,,23-Aug-05,0,SB,19,0,P,,250,10,1,0,6,0,16,0,0.047945554,56.7734375,1,1,0,3,0,,0.00,0.00
-1967,,,23-Aug-05,0,SN,21,0,P,,3900,8,1,0,11,2,16,529,0.036727533,67.484375,1,1,0,3,0,,0.14,0.00
2310,1,0,23-Aug-05,0,SO,20,0,P,1,,5,,27,2,1,14,,0.00525207,87.125,,0,,5,-1,,,0.00
1936,1,0,23-Aug-05,0,SC,18,0,P,1,,4,1,,18,0,14,,0,85.203125,1,1,0,3,0,,,0.00
-1999,,,23-Aug-05,1,SD,18,0,P,,,,,,12,0,14,,0.03270217,68.9375,1,0,,5,0,,,0.00
-1962,,,23-Aug-05,0,SO,17,0,P,,,,,,4,,13,,0.037201439,85.546875,1,0,,5,0,,,0.00
2197,1,0,23-Aug-05,0,SD,18,0,P,,,18,,,18,,12,,0.155352972,47.015625,,0,,5,-1,,,0.00
2284,1,0,23-Aug-05,0,SH,18,0,P,1,,5,1,,12,1,12,,0,69.140625,,1,0,3,-1,,,0.00
-2129,,,23-Aug-05,0,SA,19,0,P,1,150,5,,20,,1,14,,0.151758553,60.234375,,0,,5,-1,,0.00,0.00
2137,1,0,23-Aug-05,0,SO,19,0,P,,,9,1,0,5,1,12,,0.632041272,70,,0,,2,-1,,,0.00
-2263,,,23-Aug-05,0,SC,18,0,P,,,20,1,,18,0,16,,0,93.265625,,1,0,3,-1,,,0.00
2144,1,0,23-Aug-05,0,SC,19,0,P,,,,,,1,1,6,,0,11.13867188,1,0,,5,0,,,0.00
1973,1,0,23-Aug-05,0,SC,19,0,P,,,10,1,,22,0,8,,0,75.078125,1,1,0,3,0,,,0.00
2162,1,0,23-Aug-05,0,SM,18,0,P,,,,,,23,0,11,,0,77.703125,,0,,5,-1,,,0.00
-1978,,,23-Aug-05,1,SO,19,0,P,,250,17,2,,15,1,10,,0.248320926,47.828125,1,1,0,3,0,,0.00,0.00
2243,1,0,23-Aug-05,0,SD,18,0,P,,,23,1,,1,,11,,0.021802225,32.6953125,,1,0,3,-1,,,0.00
2136,1,0,23-Aug-05,0,SD,19,0,P,,,11,1,26,25,0,11,,0.105373182,46.1015625,,1,0,3,-1,,,0.00
1929,1,0,23-Aug-05,1,SO,18,0,P,,,,,,6,0,10,,0.038302109,78.234375,1,0,,5,0,,,0.00
2176,1,0,23-Aug-05,0,SO,18,0,P,,,,,,21,0,11,,0,75.96875,,0,,5,-1,,,0.00
-2272,,,23-Aug-05,0,SF,18,0,P,,,,,,16,0,11,,0.040089055,75.296875,,0,,5,-1,,,0.00
2142,1,0,23-Aug-05,0,SO,18,0,P,,,16,1,,,,8,,0.198184079,44.0078125,,1,0,3,-1,,,0.00
2270,1,0,23-Aug-05,1,SB,18,0,P,,,42,1,,28,1,8,,0.078922924,65.859375,,1,0,3,-1,,,0.00
2153,1,0,23-Aug-05,0,SB,19,0,P,,,17,2,0,18,3,11,,0,88.9375,1,1,0,3,-1,,,0.00
2171,1,0,23-Aug-05,1,SA,20,0,P,,,26,1,,4,4,10,,0.276678705,52.5625,,1,0,3,-1,,,0.00
-2077,,,23-Aug-05,0,SO,22,0,P,,,21,1,,3,5,10,,0.397072027,48.3203125,2,1,12,3,0,,,0.00
-2280,,,23-Aug-05,0,SO,19,0,P,1,,4,,0,7,0,10,,0.11361699,77.890625,1,0,,5,0,,,0.00
2223,1,0,23-Aug-05,0,SC,18,0,P,,,,,,13,,9,,0.299123436,48.796875,,0,,5,-1,,,0.00
2185,1,0,23-Aug-05,1,SA,18,,P,,,,,,17,0,9,,0.117732713,41.9296875,,0,,5,-1,,,0.00
2211,1,0,23-Aug-05,0,SC,18,0,P,,,,,,10,0,9,,0.026888685,74.421875,,0,,5,-1,,,0.00
2230,1,0,23-Aug-05,460,SM,19,0,P,1,,2,1,0,15,1,7,,0,55.15625,,1,0,3,-1,0.00,,0.00
-2208,,,23-Aug-05,0,SC,18,0,P,1,,2,,1,7,,8,,0.120268021,69.984375,1,0,,5,1,,,0.00
1859,1,0,23-Aug-05,0,SD,18,0,P,,,,,,0,0,9,,0,61.6171875,1,0,,5,0,,,0.00
-2001,,,23-Aug-05,1380,SL,36,2,,2,4200,2,12,,1,1,8,,0,44.734375,3,6,1987,1,0,0.00,0.00,0.06
2103,1,0,23-Aug-05,0,SO,18,0,P,,,,,,16,0,10,,0.065561538,73.40625,,0,,5,-1,,,0.00
2080,1,0,23-Aug-05,0,SC,18,0,P,,,23,1,,15,,14,,0.060468003,71.28125,,1,0,3,-1,,,0.00
1868,1,0,23-Aug-05,0,SD,18,0,P,,,19,1,,4,0,8,,0.065793952,53.3046875,1,1,0,3,0,,,0.00
1928,1,0,23-Aug-05,0,SE,18,0,P,,,12,1,,9,0,7,,0.497754535,81.140625,1,1,0,3,0,,,0.00
-2305,,,23-Aug-05,1,SM,20,0,,,,,,,18,2,12,,0.041173604,35.59375,,0,,5,-1,,,0.00
2238,1,0,23-Aug-05,0,SF,18,0,P,,,10,,,14,1,8,,0.06637971,69.484375,,0,,5,4,,,0.00
-2209,,,23-Aug-05,1,SA,19,0,P,,,31,1,,4,,34,,0,73.96875,,1,0,3,-1,,,0.00
2202,1,0,23-Aug-05,0,SB,19,0,P,,,9,1,0,9,1,14,,0.009952056,42.9140625,,1,0,3,3,,,0.00
-2124,,,23-Aug-05,0,SO,19,0,P,2,1650,5,1,,8,2,13,31,0,35.453125,1,1,0,3,2,,0.02,0.00
2052,1,0,23-Aug-05,1,SO,19,0,P,,,,,,3,,7,,0.411189457,38.4921875,1,0,,5,2,,,0.00
1867,1,0,23-Aug-05,1,SL,18,0,P,,,,,,2,,7,,0.132213387,58.015625,1,0,,5,0,,,0.00
2117,1,0,23-Aug-05,0,SO,18,0,P,,,24,1,,21,0,6,,0.102498077,58.6484375,1,1,0,3,0,,,0.00
1911,1,0,23-Aug-05,0,SO,18,0,P,,,26,1,,15,0,7,,0.12962256,45.2421875,1,1,0,3,0,,,0.00
1972,1,0,23-Aug-05,0,SD,18,0,P,,50,10,1,,9,0,7,,0,54.625,1,1,0,3,0,,0.00,0.00
2239,1,0,23-Aug-05,0,SF,18,0,P,,,16,1,,,,8,,0.111339171,,,1,0,3,-1,,,0.00
-1880,,,23-Aug-05,0,SJ,23,0,P,,450,38,,24,27,3,16,216,0.496832505,64.421875,1,0,,5,0,,0.48,0.00
2245,1,0,23-Aug-05,0,SH,21,0,P,,,20,1,0,10,3,8,,0.41431402,48.578125,,0,,5,-1,,,0.00
1888,1,0,23-Aug-05,0,SC,18,0,P,,,13,1,,24,0,7,,0,23.41796875,1,1,0,3,0,,,0.00
2095,1,0,23-Aug-05,0,SO,18,0,P,,,,,,4,0,7,,0.058826699,68.875,,0,,5,-1,,,0.00
-2326,,,23-Aug-05,0,SN,19,0,P,,,26,,,27,,5,,0.107119713,46.3046875,1,0,,5,0,,,0.00
2290,1,0,23-Aug-05,0,SB,18,0,,,,,,,5,1,6,,0,55.6171875,,0,,5,-1,,,0.00
-1920,,,23-Aug-05,1,SO,19,0,P,,,46,1,,11,,16,,0.087684455,58.8828125,1,1,0,3,1,,,0.00
1914,1,0,23-Aug-05,1,SO,18,0,P,,,,,,7,1,7,,0.0637212,65.21875,1,0,,5,0,,,0.00
2113,1,0,23-Aug-05,0,SL,18,0,P,,,22,1,,17,0,17,,0,69.21875,,1,0,3,-1,,,0.00
2091,1,0,23-Aug-05,0,SO,19,0,P,,,32,1,,2,2,14,,0.109462951,78.96875,1,1,0,3,1,,,0.00
-2198,,,23-Aug-05,0,SC,18,0,P,1,,4,,36,5,2,6,,0,83.34375,,0,,5,-1,,,0.00
2191,1,0,23-Aug-05,0,SO,20,0,P,,,12,2,,2,1,7,,0.16473528,36.8515625,1,2,1499,3,1,,,0.00
2056,1,0,23-Aug-05,0,SO,19,0,P,,,9,2,0,2,2,6,,0,76.515625,1,1,0,3,3,,,0.00
-1886,,,23-Aug-05,0,SG,19,1,R,,1150,39,1,,2,1,5,,0.059482601,73.6875,1,1,1014,3,0,,0.00,0.05
2234,1,0,23-Aug-05,1,SO,18,0,P,,50,10,1,,16,1,17,,0.04162488,78.734375,,1,0,3,-1,,0.00,0.00
-1998,,,23-Aug-05,0,SO,18,0,P,,,,,,16,0,17,,0,88.875,1,0,,5,0,,,0.00
2087,1,0,23-Aug-05,0,SA,19,0,P,,,,,,27,2,8,,0,39.5859375,,0,,5,-1,,,0.00
1931,1,0,23-Aug-05,0,SL,19,0,P,,,8,1,,2,1,6,,0.532573668,56.875,1,1,0,3,0,,,0.00
-2012,,,23-Aug-05,0,SO,25,2,P,,,9,1,0,14,7,57,,0,75.65625,1,1,1048,3,4,,,0.08
2085,1,0,23-Aug-05,0,SO,18,0,P,1,,5,1,0,21,,7,,0,54.9296875,,1,0,3,-1,,,0.00
2119,1,0,23-Aug-05,1,SA,18,0,P,,,,,,16,0,6,,0,70.390625,,0,,5,-1,,,0.00
1895,1,0,23-Aug-05,0,SA,18,0,P,,,,,,5,2,17,,0,49.2578125,1,0,,5,0,,,0.00
-2115,,,23-Aug-05,0,SE,19,1,P,,1000,15,1,,16,1,5,0,0.141499558,69.609375,,1,0,3,-1,,0.00,0.05
1968,1,0,23-Aug-05,1,SC,18,0,P,,,43,1,,16,,20,,0.026022554,78.65625,1,1,0,3,0,,,0.00
1890,1,0,23-Aug-05,0,SC,18,0,R,1,350,3,1,,4,0,6,,0.297842875,78.390625,1,1,0,3,0,,0.00,0.00
1887,1,0,23-Aug-05,1,SC,18,0,P,,,,,,13,0,15,,0,85.953125,1,0,,5,0,,,0.00
-1995,,,23-Aug-05,0,SD,18,0,P,,,10,2,,0,0,7,,0,74.734375,1,1,0,3,0,,,0.00
-1944,,,23-Aug-05,0,SO,19,0,P,1,250,3,2,0,8,2,6,,0,63.5625,1,1,0,3,0,,0.00,0.00
1883,1,0,23-Aug-05,0,SC,19,0,P,,,18,1,25,22,,8,,0.032449236,64.75,1,1,0,3,0,,,0.00
1922,1,0,23-Aug-05,1,SM,18,0,P,,,,,,1,0,4,,0,,1,0,,5,0,,,0.00
-2110,,,23-Aug-05,0,SC,18,0,P,,,,,,21,0,4,,0,75.125,,0,,5,-1,,,0.00
-1994,,,23-Aug-05,0,SM,19,0,P,,,9,,,0,0,4,,0,,1,0,,5,0,,,0.00
2150,1,0,23-Aug-05,0,SO,19,0,P,,,36,1,,13,2,3,,0.794700593,42,,1,0,3,-1,,,0.00
2187,1,0,23-Aug-05,0,SC,18,0,P,,,24,1,,5,0,8,,0.118083424,53.9375,,1,0,3,-1,,,0.00
2037,1,0,23-Aug-05,0,SA,18,0,P,1,,3,1,36,2,1,16,,0.095175048,51.359375,,1,0,3,-1,,,0.00
1900,1,0,23-Aug-05,1,SM,19,0,P,1,,2,2,0,10,1,13,,0.084443695,49.1875,2,1,0,3,0,,,0.00
-1921,,,23-Aug-05,0,SH,18,0,P,,,24,1,,13,,13,,0.433128688,73.34375,1,1,0,3,0,,,0.00
2011,1,0,23-Aug-05,0,SM,19,0,P,,,10,1,0,16,0,11,,0,52.5859375,1,1,0,3,0,,,0.00
2111,1,0,23-Aug-05,1,SM,22,0,P,,2000,15,2,,6,5,4,0,0.07478398,66.28125,1,1,0,3,-1,,0.00,0.00
-2189,,,23-Aug-05,1,SL,23,2,R,,,,,,12,,14,,0,70.265625,,0,,5,-1,,,0.09
-2179,,,23-Aug-05,1,SF,19,0,P,,,10,1,0,14,,12,,0.028202809,74.09375,,1,0,3,4,,,0.00
2265,1,0,23-Aug-05,0,SF,17,0,P,,,,,,19,,11,,0,44.109375,,0,,5,-1,,,0.00
-1969,,,23-Aug-05,0,SO,18,0,P,,,8,1,,9,0,10,,0.019076509,93.296875,2,1,0,3,0,,,0.00
-2224,,,23-Aug-05,0,SO,16,,R,,,,,,15,,11,,0.260988398,54.8515625,,0,,5,-1,,,0.00
-1990,,,23-Aug-05,0,SH,18,0,P,1,,6,2,0,20,2,12,,0.085900477,66.171875,2,1,0,3,0,,,0.00
2314,1,0,23-Aug-05,1,SO,24,0,,,,27,1,0,13,3,13,,0.102976362,79.5,,1,0,3,-1,,,0.00
1910,1,0,23-Aug-05,0,SM,18,0,P,1,,3,,0,15,0,8,,0.161089153,51.3125,1,0,,5,0,,,0.00
1862,1,0,23-Aug-05,0,SO,18,0,P,,,,,,15,,10,,0.002429366,51.5,1,0,,5,0,,,0.00
1945,1,0,23-Aug-05,0,SB,18,0,P,,,,,,23,0,5,,0.629030082,62.3203125,1,0,,5,0,,,0.00
-2319,,,23-Aug-05,0,SD,18,0,P,,,,,,4,0,5,,0,29.18359375,,0,,5,-1,,,0.00
2156,1,0,23-Aug-05,0,SA,18,0,P,,,16,,45,19,0,4,,0,63.65625,,0,,5,-1,,,0.00
2261,1,0,23-Aug-05,1,SB,19,0,P,,700,13,2,,1,1,5,31,0.190987366,39.984375,1,1,0,3,-1,,0.04,0.00
2118,1,0,23-Aug-05,0,SO,18,0,P,,,,,,27,,4,,0.063201533,82.140625,,0,,5,-1,,,0.00
2074,1,0,23-Aug-05,1,SL,19,0,P,,,17,1,0,3,3,15,,0,79.78125,,1,0,3,-1,,,0.00
2303,1,0,23-Aug-05,0,SB,18,0,P,,,19,1,,12,0,10,,0.057375632,70.90625,,1,0,3,-1,,,0.00
2051,1,0,23-Aug-05,1,SA,18,0,P,,,,,,14,0,10,,0,54.2421875,,0,,5,-1,,,0.00
-2003,,,23-Aug-05,1,SC,18,0,P,,,35,2,,14,0,3,,0,67.359375,1,1,0,3,0,,,0.00
-2154,,,23-Aug-05,0,SF,21,0,R,1,1900,4,,75,,,,,0.286629024,30.07421875,2,0,,5,0,,0.00,0.00
2123,1,0,23-Aug-05,0,SD,18,0,P,3,500,4,1,0,1,,4,496,0.030437012,66.875,1,1,0,3,2,,0.99,0.00
2232,1,0,23-Aug-05,1,SC,18,0,P,1,,2,1,1,11,,4,,0,82.671875,1,1,0,3,1,,,0.00
2225,1,0,23-Aug-05,1,SC,18,0,P,,,50,1,,7,0,3,,0,99,,1,0,3,-1,,,0.00
1897,1,0,23-Aug-05,0,SC,17,0,P,,,,,,,,5,,0,72.625,1,0,,5,0,,,0.00
2188,1,0,23-Aug-05,200,SO,19,0,P,2,650,4,3,,,0,,464,0.188658658,68.71875,2,2,0,3,0,2.32,0.71,0.00
1884,1,0,23-Aug-05,0,SO,18,0,P,,,15,2,,7,1,2,,0,69.703125,1,1,0,3,0,,,0.00
-1993,,,23-Aug-05,0,SC,19,0,P,,,,,,,,3,,0.284351426,24.3984375,,0,,5,-1,,,0.00
1896,1,0,23-Aug-05,0,SO,20,0,P,,,20,2,0,,,2,,0,70.28125,1,1,0,3,0,,,0.00
2321,1,0,23-Aug-05,0,SH,19,0,P,,250,13,1,,8,0,2,,0.12123423,46.9453125,,1,0,3,-1,,0.00,0.00
-2057,,,23-Aug-05,1,SO,16,,P,,,,,,,,,,0.024096836,32.9140625,,0,,5,-1,,,0.00
2283,1,0,23-Aug-05,0,SK,18,0,P,,,,,,0,0,2,,0.083804953,48.84375,,0,,5,-1,,,0.00
-2147,,,23-Aug-05,0,SO,18,0,P,,,,,,,0,3,,0.092564368,86.1875,,0,,5,-1,,,0.00
2100,1,0,23-Aug-05,0,SM,19,0,P,,500,8,1,44,2,1,1,464,0.165478158,89.03125,,1,0,3,-1,,0.93,0.00
-1871,,,23-Aug-05,0,SH,18,0,P,,,24,1,,,,2,,0.203911454,20.45703125,1,1,0,3,0,,,0.00
-1893,,,23-Aug-05,0,SD,18,0,P,,,25,2,,,0,1,,0.070035209,63.34375,1,1,0,3,0,,,0.00
2216,1,0,23-Aug-05,0,SA,20,0,P,,,17,2,,,3,,,0,54.296875,1,1,0,3,-1,,,0.00
-1960,,,23-Aug-05,0,SO,31,0,R,,,,,,,0,,,0.188375789,30.0703125,1,0,,5,0,,,0.00
-1934,,,23-Aug-05,0,SL,19,0,P,,,29,1,,,,3,,0,83.5,1,1,0,3,0,,,0.00
-2161,,,23-Aug-05,0,SF,18,0,P,,,,,,3,16,,,0,65.609375,,0,,5,-1,,,0.00
-1923,,,23-Aug-05,0,SN,20,0,P,2,4700,5,1,0,,,2,,0,45.2578125,3,1,6329,3,0,,0.00,0.00
-1989,,,23-Aug-05,0,SK,18,0,P,,,,,,0,,3,,0,,1,0,,5,0,,,0.00
-1982,,,23-Aug-05,0,SA,20,0,R,1,,6,3,0,,,,,0.13013017,22.73046875,2,1,0,3,0,,,0.00
-2190,,,23-Aug-05,0,SH,18,0,P,,,,,,11,0,3,,0.249609393,71.984375,,0,,5,3,,,0.00
-1985,,,23-Aug-05,0,SC,18,0,P,,,,,,20,0,,,0,95.234375,1,0,,5,0,,,0.00
-2184,,,23-Aug-05,2180,SJ,29,0,R,,,19,2,199,,3,,,0.079823857,17.55859375,2,1,0,3,1,0.00,,0.00
-1970,,,23-Aug-05,0,SC,18,0,P,,,9,1,,,,3,,0.155016316,32.21875,1,1,0,3,0,,,0.00
2248,1,0,23-Aug-05,200,SA,19,0,P,,,16,2,0,,1,,,0.051938349,90.359375,1,1,0,3,-1,0.00,,0.00
2059,1,0,23-Aug-05,0,SH,18,0,P,,,23,1,,,14,1,,0.538907528,67.90625,,1,0,3,-1,,,0.00
2267,1,0,23-Aug-05,0,SM,18,0,P,,,,,,,0,6,,0.107968579,53.5234375,,0,,5,-1,,,0.00
-2030,,,23-Aug-05,0,SK,46,0,R,,,14,2,,,0,,,0.061107211,58.6484375,,1,0,3,3,,,0.00
-1878,,,23-Aug-05,2200,SB,36,1,R,,,11,2,1,,4,,,0.45894575,61.7265625,2,1,0,3,0,0.00,,0.03
1904,1,0,23-Aug-05,0,SC,18,0,P,,,14,1,,6,0,4,,0,59.0078125,1,1,0,3,0,,,0.00
-1905,,,23-Aug-05,1400,SD,22,0,R,,,8,2,715,,1,,,0.110113113,17.4140625,2,1,0,1,0,0.00,,0.00
-2257,,,23-Aug-05,1000,SF,31,0,R,,,7,2,320,,,,,0,,2,1,0,2,1,0.00,,0.00
-2201,,,23-Aug-05,1,SA,19,0,P,,,,,,14,0,3,,0,31.06640625,,0,,5,-1,,,0.00
-2278,,,23-Aug-05,0,SA,19,0,P,,,,,,,,,,0.011727856,41.2890625,,0,,5,-1,,,0.00
2120,1,0,23-Aug-05,0,SO,19,0,P,3,650,1,2,0,,2,,496,0.071773666,80.40625,3,1,0,3,0,,0.76,0.00
1891,1,0,23-Aug-05,0,SC,18,0,,,,26,1,,,0,,,0.510143777,54.421875,1,1,0,3,0,,,0.00
2226,1,0,23-Aug-05,1,SA,18,0,P,,,53,1,,,2,,,0.004168164,68.890625,,1,0,3,-1,,,0.00
-2294,,,23-Aug-05,0,SM,19,0,,,,,,,,3,,,0,81.125,,0,,5,-1,,,0.00
-1913,,,23-Aug-05,0,SC,23,5,R,,1650,18,2,30,,,,,0,90.34375,1,2,1264,3,0,,0.00,0.22
-2316,,,23-Aug-05,0,SM,22,3,,,,,,,,,,,0.355939119,89.046875,,0,,5,-1,,,0.14
-1965,,,23-Aug-05,80,SN,26,0,R,4,1600,1,1,39,,0,,1,0,51.9375,3,1,603,3,0,0.01,0.00,0.00
2241,1,0,23-Aug-05,0,SO,18,0,P,2,500,5,1,,,0,,0,0,84.859375,,1,0,3,-1,,0.00,0.00
-2031,,,23-Aug-05,0,SC,27,0,R,,,20,1,140,,,,,0.041990583,53.515625,,0,,5,-1,,,0.00
2138,1,0,23-Aug-05,0,SO,18,0,P,1,,5,1,,19,0,7,,0.018432682,75.734375,,1,0,3,-1,,,0.00
1946,1,0,23-Aug-05,0,SJ,17,0,P,,,,,,,,,,0.091732917,74.859375,1,0,,5,0,,,0.00
-2132,,,23-Aug-05,1,SO,18,0,P,,,37,,,,,,,0.300756969,74.546875,1,0,,5,0,,,0.00
2134,1,0,23-Aug-05,1,SB,18,0,P,,,36,1,,0,0,1,,0.028824528,56.984375,,1,0,3,-1,,,0.00
-2000,,,23-Aug-05,0,SL,19,1,P,,,,,,,0,,,0,81.390625,1,0,,5,0,,,0.05
-1899,,,23-Aug-05,0,SB,23,0,R,1,,4,,70,,,,,0.373755793,29.0078125,2,0,,5,0,,,0.00
-2255,,,23-Aug-05,0,SB,35,1,R,,,,,,,,,,0,49.609375,1,0,,5,2,,,0.03
-2297,,,23-Aug-05,0,SO,18,0,,,,,,,,1,,,0,60.7890625,1,0,,5,0,,,0.00
-1940,,,23-Aug-05,0,SO,19,0,R,,,,,,,,,,0.098948155,67,1,0,,5,0,,,0.00
2028,1,0,23-Aug-05,0,SM,18,0,P,,,14,1,,15,0,4,,0,72.5625,,1,0,3,-1,,,0.00
-2066,,,23-Aug-05,0,SA,16,0,P,,,,,,,,,,0,70.890625,1,0,,5,1,,,0.00
1885,1,0,23-Aug-05,0,SH,18,0,P,,,,,,9,,6,,0,,1,0,,5,0,,,0.00
-2099,,,23-Aug-05,0,SA,18,0,P,,,,,,7,0,5,,0.081796741,42.4296875,,0,,5,-1,,,0.00
-1991,,,23-Aug-05,0,SM,20,0,R,,,,,,,,,,0.045719745,55.8046875,1,0,,5,0,,,0.00
2070,1,0,23-Aug-05,1,SE,18,0,P,,,,,,12,0,36,,0,72.71875,,0,,5,-1,,,0.00
-2053,,,23-Aug-05,0,SA,19,0,P,2,150,4,1,44,2,,,,0.485257509,43.2421875,2,1,0,3,2,,0.00,0.00
-2309,,,23-Aug-05,1,SA,23,1,R,,,,,,,,,,0.398187282,18.390625,,0,,5,-1,,,0.04
2078,1,0,23-Aug-05,0,SN,20,1,P,,800,18,2,0,,2,5,31,0.548560722,93.578125,,1,0,3,-1,,0.04,0.05
2015,1,0,23-Aug-05,1,SO,18,0,P,,,35,2,,2,0,4,,0.089142647,95.5625,1,1,0,3,-1,,,0.00
2014,1,0,23-Aug-05,2,SL,18,0,P,,,11,1,,16,0,6,,0,41.3125,,1,0,3,-1,,,0.00
-2304,,,23-Aug-05,0,SC,30,0,,,,,,,,,,,0.142112794,18.75390625,,0,,5,-1,,,0.00
1916,1,0,23-Aug-05,1,SO,19,0,P,,950,15,1,,7,2,18,0,0.045087348,69.40625,1,1,0,3,0,,0.00,0.00
-2064,,,23-Aug-05,0,SA,21,0,R,,,46,1,,,0,,,0.25139022,27.41015625,2,1,0,3,1,,,0.00
-2289,,,23-Aug-05,0,SO,24,0,R,,,,,,,,,,0.100154994,38.984375,,0,,5,-1,,,0.00
2250,1,0,23-Aug-05,0,SF,19,0,P,1,550,4,3,0,4,2,16,0,0.033441645,78.46875,1,2,279,3,-1,,0.00,0.00
2086,1,0,23-Aug-05,0,SF,18,0,P,,,16,2,,12,0,59,,0,87.4375,1,1,0,3,-1,,,0.00
-2063,,,23-Aug-05,0,SC,20,0,P,,,10,1,45,,,6,,0.397001826,47.890625,,1,0,3,-1,,,0.00
-2192,,,23-Aug-05,800,SD,21,,R,,,,,,,,,,0,60.3515625,,0,,5,-1,0.00,,0.00
2054,1,0,23-Aug-05,0,SO,25,0,P,,7500,23,1,0,18,7,54,403,0,58.4921875,,1,0,3,-1,,0.05,0.00
2325,1,0,23-Aug-05,0,SO,18,0,P,,,,,,1,,27,,0,63.65625,,0,,5,-1,,,0.00
2141,1,0,23-Aug-05,0,SO,18,0,P,,,,,,6,0,23,,0.093091836,61.3671875,,0,,5,-1,,,0.00
-2246,,,23-Aug-05,0,SL,18,0,P,,,10,2,,24,0,25,,0.043693239,76.984375,1,1,0,3,-1,,,0.00
-2018,,,23-Aug-05,0,SA,19,0,P,,,14,1,0,8,0,23,,0.2135833,70.640625,,0,,5,-1,,,0.00
2177,1,0,23-Aug-05,0,SA,19,0,P,,,,,,,0,,,0,87.59375,,0,,5,-1,,,0.00
-2108,,,23-Aug-05,0,SO,19,0,P,,,,,,,,,,0.00335969,85.296875,,0,,5,-1,,,0.00
-2221,,,23-Aug-05,0,SE,18,0,P,,,40,1,,18,,36,,0,84.671875,,1,0,3,-1,,,0.00
-2007,,,23-Aug-05,0,SF,18,0,P,,,,,,24,1,4,,0.030035988,60.4765625,1,0,,5,0,,,0.00
-2008,,,23-Aug-05,0,SF,19,0,P,,750,7,2,0,,,4,,0,41.7890625,1,1,0,3,0,,0.00,0.00
-2096,,,23-Aug-05,0,SF,27,1,P,,,,,,,,,,0.575218573,68.6875,,0,,5,-1,,,0.04
2021,1,0,23-Aug-05,0,SH,19,0,P,,,,,,,,,,0.21644251,8.2578125,,0,,5,-1,,,0.00
2116,1,0,23-Aug-05,0,SM,18,0,P,,,22,1,,,0,,,0.159441439,81.390625,,1,0,3,-1,,,0.00
